bike_name,power_hp,torque_nm,weight_kg,norm_torque,ratio,energy_feel,movement_motion,full_profile
Bajaj Pulsar 220F,20.1,18.5,160,115.62,1.086,Calm,Steady,ENERGY - Calm ( 115.62 )   |   MOVEMENT - Steady ( 1.086 )
Bajaj Avenger Cruise 220,18.7,17.5,163,107.36,1.069,Calm,Steady,ENERGY - Calm ( 107.36 )   |   MOVEMENT - Steady ( 1.069 )
Bajaj Dominar 250,26.6,23.5,180,130.56,1.132,Calm,Electric,ENERGY - Calm ( 130.56 )   |   MOVEMENT - Electric ( 1.132 )
Bajaj Dominar 400,39.4,35.0,193,181.35,1.126,Alive,Electric,ENERGY - Alive ( 181.35 )   |   MOVEMENT - Electric ( 1.126 )
KTM 125 Duke,14.3,12.0,159,75.47,1.192,Calm,Electric,ENERGY - Calm ( 75.47 )   |   MOVEMENT - Electric ( 1.192 )
KTM RC 125,14.3,12.0,160,75.00,1.192,Calm,Electric,ENERGY - Calm ( 75.00 )   |   MOVEMENT - Electric ( 1.192 )
KTM 200 Duke,24.6,19.2,159,120.75,1.281,Calm,Electric,ENERGY - Calm ( 120.75 )   |   MOVEMENT - Electric ( 1.281 )
KTM RC 200,24.6,19.2,160,120.00,1.281,Calm,Electric,ENERGY - Calm ( 120.00 )   |   MOVEMENT - Electric ( 1.281 )
KTM 250 Duke,30.0,25.0,163,153.37,1.200,Alive,Electric,ENERGY - Alive ( 153.37 )   |   MOVEMENT - Electric ( 1.200 )
KTM 390 Duke,45.3,39.0,168,232.14,1.162,Unapologetic,Electric,ENERGY - Unapologetic ( 232.14 )   |   MOVEMENT - Electric ( 1.162 )
KTM RC 390,42.9,37.0,172,215.12,1.159,Alive,Electric,ENERGY - Alive ( 215.12 )   |   MOVEMENT - Electric ( 1.159 )
KTM 390 Adventure,42.9,37.0,177,209.04,1.159,Alive,Electric,ENERGY - Alive ( 209.04 )   |   MOVEMENT - Electric ( 1.159 )
Triumph Speed T4,30.6,36.0,170,211.76,0.850,Alive,Steady,ENERGY - Alive ( 211.76 )   |   MOVEMENT - Steady ( 0.850 )
Triumph Speed 400,39.5,37.5,176,213.07,1.053,Alive,Steady,ENERGY - Alive ( 213.07 )   |   MOVEMENT - Steady ( 1.053 )
Triumph Scrambler 400 X,39.5,37.5,185,202.70,1.053,Alive,Steady,ENERGY - Alive ( 202.70 )   |   MOVEMENT - Steady ( 1.053 )
Harley-Davidson X440,27.0,38.0,190.5,199.48,0.711,Alive,Open-Hearted,ENERGY - Alive ( 199.48 )   |   MOVEMENT - Open-Hearted ( 0.711 )
Triumph Street Triple 765 R,120.0,80.0,168,476.19,1.500,Wild,Chaotic,ENERGY - Wild ( 476.19 )   |   MOVEMENT - Chaotic ( 1.500 )
Honda CB750 Hornet,92.0,75.0,190,394.74,1.227,Wild,Electric,ENERGY - Wild ( 394.74 )   |   MOVEMENT - Electric ( 1.227 )
Honda CB650R,94.0,63.0,205,307.32,1.492,Wild,Chaotic,ENERGY - Wild ( 307.32 )   |   MOVEMENT - Chaotic ( 1.492 )
Honda XL750 Transalp,91.0,75.0,208,360.58,1.213,Wild,Electric,ENERGY - Wild ( 360.58 )   |   MOVEMENT - Electric ( 1.213 )
Triumph Trident 660,81.0,64.0,189,338.62,1.266,Wild,Electric,ENERGY - Wild ( 338.62 )   |   MOVEMENT - Electric ( 1.266 )
Triumph Tiger Sport 660,81.0,64.0,206,310.68,1.266,Wild,Electric,ENERGY - Wild ( 310.68 )   |   MOVEMENT - Electric ( 1.266 )
Triumph Bonneville T100,65.0,80.0,228,350.88,0.812,Wild,Open-Hearted,ENERGY - Wild ( 350.88 )   |   MOVEMENT - Open-Hearted ( 0.812 )
